"gene","logFC","AveExpr","t","pvalue","padj"
"CDK13",0.0352,10.9611,0.2699,0.7872,0.8738
"MPLKIP",0.031,9.6946,0.1793,0.8577,0.9191
"SUGCT",-0.169,7.4619,-0.5668,0.5709,0.7181
"INHBA",-0.0697,10.7212,-0.1878,0.851,0.9156
"GLI3",-2.0419,9.1723,-5.7363,9.674e-09,4.74e-07
"C7orf25",-0.0525,9.1791,-0.3517,0.7251,0.8315
"RP11-111K18.1",-0.1472,11.7978,-0.8629,0.3882,0.5616
"PSMA2",-0.1685,11.7486,-0.946,0.3442,0.5188
"MRPL32",0.2441,10.1492,1.1799,0.238,0.4073
"HECW1",-0.5902,7.0398,-1.0065,0.3142,0.4896
"STK17A",0.016,10.7297,0.073,0.9418,0.9677
"COA1",0.0982,10.4938,0.4357,0.6631,0.7875
"BLVRA",0.2594,10.9566,1.1377,0.2552,0.4262
"MRPS24",0.1812,10.6799,0.9566,0.3388,0.5133
"URGCP-MRPS24",0.1805,10.6514,0.974,0.3301,0.5054
"URGCP",0.1237,10.4472,0.712,0.4765,0.6401
"UBE2D4",0.4538,9.7163,2.7916,0.005244,0.02526
"SPDYE1",-0.0594,6.7438,-0.2107,0.8332,0.9041
"PGAM2",0.8229,7.4202,1.888,0.05903,0.1532
"DBNL",-0.1584,12.2882,-1.1128,0.2658,0.4379
"POLM",0.2041,9.5324,1.0062,0.3143,0.4896
"AEBP1",-0.0787,13.2376,-0.2232,0.8234,0.8972
"POLD2",-0.3966,11.4526,-1.786,0.0741,0.1798
"GCK",-0.4297,6.3419,-0.8726,0.3829,0.5569
"YKT6",-0.1736,11.751,-1.0169,0.3092,0.484
"CAMK2B",2.7173,6.6627,3.9017,9.553e-05,0.00112
"NUDCD3",-0.1097,11.7508,-0.7902,0.4294,0.5998
"DDX56",0.0507,11.128,0.2688,0.7881,0.8746
"TMED4",0.4334,11.9482,3.5389,0.0004018,0.003546
"OGDH",0.1022,12.4182,0.5643,0.5726,0.7193
"ZMIZ2",-0.2156,11.8697,-0.8918,0.3725,0.5472
"PPIA",0.0849,13.2247,0.4422,0.6583,0.784
"H2AFV",0.2164,12.1243,1.1401,0.2542,0.4253
"PURB",-0.2894,11.3415,-1.5704,0.1163,0.2495
"MYO1G",-0.0281,9.7045,-0.0799,0.9363,0.9647
"CCM2",-0.4043,10.6947,-2.7089,0.006751,0.03064
"NACAD",-0.1715,7.8563,-0.4183,0.6757,0.7964
"TBRG4",0.022,10.8538,0.108,0.914,0.9526
"RAMP3",0.4125,9.5217,1.1303,0.2584,0.4298
"ADCY1",-0.3697,7.8072,-0.9351,0.3497,0.5246
"IGFBP3",0.3804,12.8615,0.7566,0.4493,0.6173
"TNS3",0.4539,12.4646,1.7027,0.08862,0.2055
"PKD1L1",0.4751,6.8022,1.0306,0.3027,0.4775
"HUS1",0.0615,9.2586,0.4204,0.6742,0.7954
"C7orf57",2.9215,6.945,4.3806,1.183e-05,0.0002036
"UPP1",0.503,10.3629,1.594,0.1109,0.241
"ABCA13",-1.3414,8.787,-1.9985,0.04567,0.1278
"VWC2",-2.6885,6.4317,-3.7464,0.0001794,0.00186
"IKZF1",-0.2603,9.5712,-0.7265,0.4675,0.6328
"FIGNL1",-0.2562,9.084,-0.9784,0.3279,0.5033
"DDC",3.0659,7.1639,5.347,8.94e-08,3.266e-06
"GRB10",-0.0237,10.8519,-0.086,0.9315,0.9627
"COBL",2.419,9.9168,6.1155,9.628e-10,6.558e-08
"SEC61G",0.1962,10.7184,0.8782,0.3798,0.5543
"EGFR",-0.8711,12.2308,-2.4665,0.01364,0.05232
"LANCL2",-0.5881,9.5816,-2.2862,0.02224,0.07534
"VOPP1",-0.1656,11.3617,-1.195,0.2321,0.4004
"ZNF713",0.5173,7.7396,2.0354,0.04181,0.1198
"RP11-15K19.2",0.0662,8.8559,0.4208,0.6739,0.7952
"MRPS17",0.0714,9.3185,0.4561,0.6483,0.7774
"GBAS",0.5626,11.293,2.9117,0.003595,0.01914
"PSPH",-0.4299,9.1545,-1.7932,0.07294,0.1778
"CCT6A",-0.1779,12.4237,-1.0443,0.2964,0.4704
"SUMF2",0.8275,12.3807,4.6252,3.743e-06,7.854e-05
"PHKG1",0.747,9.9312,3.9551,7.65e-05,0.0009342
"CHCHD2",0.5295,12.1871,2.2371,0.02528,0.0828
"NUPR2",0.3964,6.6712,0.7354,0.4621,0.6284
