"gene","logFC","AveExpr","t","pvalue","padj"
"DCLRE1A",0.2256,9.3256,1.1487,0.2507,0.4216
"NHLRC2",0.2568,10.4939,1.495,0.1349,0.2761
"ADRB1",-0.1009,8.0194,-0.173,0.8626,0.9222
"CCDC186",0.4472,10.5175,2.2686,0.02329,0.0778
"VWA2",0.7087,8.6354,1.5207,0.1283,0.267
"AFAP1L2",-2.2923,9.385,-6.2118,5.238e-10,3.904e-08
"ABLIM1",0.1423,12.5702,0.5303,0.5959,0.737
"FAM160B1",0.3391,10.1193,2.3167,0.02052,0.07109
"TRUB1",0.1345,9.8656,0.648,0.517,0.675
"ATRNL1",-0.8177,6.9017,-1.2375,0.2159,0.3819
"GFRA1",-0.8295,8.172,-1.2131,0.2251,0.3926
"HSPA12A",-0.2986,8.2435,-0.8395,0.4012,0.5735
"ENO4",0.9773,6.8817,3.0028,0.002675,0.01539
"SHTN1",1.0944,11.0552,4.9456,7.59e-07,2.058e-05
"SLC18A2",0.6347,9.3477,2.8336,0.004603,0.02283
"PDZD8",0.4611,11.0678,2.0788,0.03764,0.1111
"RAB11FIP2",0.7153,9.6023,3.878,0.0001053,0.001215
"FAM204A",0.6285,10.2473,2.896,0.003779,0.01983
"CACUL1",-0.1933,11.1331,-1.0962,0.273,0.4467
"NANOS1",0.771,7.0239,2.3489,0.01883,0.06664
"EIF3A",-0.0401,13.0854,-0.2721,0.7856,0.873
"FAM45A",0.3485,9.1549,1.9177,0.05514,0.1459
"SFXN4",0.5278,9.3318,2.1857,0.02884,0.0913
"PRDX3",0.6894,11.9321,3.1901,0.001422,0.009462
"GRK5",0.2385,10.2017,0.7332,0.4634,0.6292
"RGS10",0.2042,9.5198,0.6239,0.5327,0.6877
"TIAL1",0.0398,11.2437,0.2597,0.7951,0.8784
"BAG3",-0.3376,11.3659,-1.1206,0.2624,0.4346
"INPP5F",-0.6303,9.5702,-3.0529,0.002266,0.01356
"MCMBP",-0.1682,11.3718,-0.9596,0.3372,0.5118
"SEC23IP",0.2928,10.9555,2.0108,0.04435,0.1252
"PLPP4",-0.7429,6.8946,-1.4679,0.1421,0.2859
"WDR11",0.1143,11.0175,0.8338,0.4044,0.576
"FGFR2",-1.8385,10.7851,-4.3242,1.531e-05,0.0002516
"ATE1",0.2854,10.2288,2.0499,0.04037,0.117
"NSMCE4A",0.1936,9.8795,1.0218,0.3069,0.4815
"TACC2",0.6459,11.8244,1.8447,0.06508,0.1638
"BTBD16",1.4202,6.2508,2.6673,0.007646,0.03369
"PLEKHA1",-0.117,11.3988,-0.5968,0.5506,0.7019
"HTRA1",-0.293,11.2983,-1.1402,0.2542,0.4253
"DMBT1",1.1662,10.8595,1.7027,0.08862,0.2055
"CUZD1",0.2952,7.1415,0.8872,0.375,0.5497
"FAM24B",0.3934,7.086,1.1296,0.2586,0.43
"C10orf88",0.3124,8.6395,1.6892,0.09118,0.2098
"PSTK",0.2027,7.6176,1.0312,0.3025,0.4772
"IKZF5",0.3717,9.6535,1.8625,0.06254,0.1593
"ACADSB",0.8137,10.2442,3.0442,0.002333,0.01386
"BUB3",-0.1657,11.3506,-1.0094,0.3128,0.4878
"CPXM2",-1.4793,9.7923,-3.1836,0.001455,0.009597
"CHST15",-0.1079,10.9556,-0.3864,0.6992,0.8133
"OAT",0.0987,11.4377,0.4069,0.6841,0.802
"NKX1-2",-0.3336,6.3207,-0.3423,0.7321,0.8364
"LHPP",0.0203,9.6032,0.0815,0.935,0.964
"FAM53B",-0.9187,10.7617,-3.5145,0.0004405,0.003807
"RP11-12J10.3",-0.304,9.1692,-1.7032,0.08854,0.2053
"METTL10",0.0514,9.1147,0.2716,0.7859,0.8731
"FAM175B",0.0977,9.6882,0.6988,0.4847,0.6478
"ZRANB1",-0.0916,10.7027,-0.6554,0.5122,0.6711
"CTBP2",0.383,11.6979,2.4188,0.01557,0.05767
"EDRF1",0.1784,9.2633,1.0498,0.2938,0.4678
"UROS",0.5507,10.1176,2.9533,0.003144,0.01734
"BCCIP",0.1589,10.788,0.9303,0.3522,0.527
"DHX32",0.5645,10.5436,2.9903,0.002787,0.01588
"FANK1",1.0782,7.8275,2.629,0.008564,0.03664
"ADAM12",-0.6711,9.1921,-1.7543,0.07937,0.1892
"FAM196A",1.5223,6.8049,2.2904,0.022,0.0747
"DOCK1",0.2322,11.2764,1.4052,0.16,0.3112
"PTPRE",0.4567,10.5199,1.5234,0.1277,0.2661
"MKI67",-0.604,10.7335,-1.6632,0.09628,0.2183
"MGMT",0.573,9.7049,2.066,0.03883,0.1138
"EBF3",-2.5158,6.6128,-4.128,3.66e-05,0.000506
"LINC00959",0.2875,7.1785,0.7925,0.4281,0.5986
"GLRX3",-0.02,10.6894,-0.0881,0.9298,0.9615
"PPP2R2D",0.1614,10.0873,1.1879,0.2349,0.4039
"BNIP3",0.5783,10.7688,1.9791,0.0478,0.1319
"JAKMIP3",-0.1445,7.2056,-0.2373,0.8125,0.8908
"DPYSL4",-0.3031,7.4123,-0.5592,0.576,0.7224
"STK32C",0.9031,8.6796,3.3083,0.0009385,0.00689
"LRRC27",0.8886,8.4469,4.5522,5.308e-06,0.0001059
"PWWP2B",0.375,9.6861,1.6407,0.1008,0.2261
"INPP5A",-0.2742,10.0938,-1.6018,0.1092,0.2387
"NKX6-2",-0.252,7.7843,-1.2177,0.2233,0.3904
"CFAP46",2.4378,6.9931,3.5178,0.0004351,0.003762
"ADGRA1",0.7405,6.2199,0.933,0.3508,0.5256
"KNDC1",2.4803,8.1801,5.0886,3.607e-07,1.091e-05
"VENTX",0.621,6.7857,1.5576,0.1193,0.2541
"ADAM8",0.1131,9.7979,0.2968,0.7666,0.8606
"TUBGCP2",0.0515,11.338,0.413,0.6796,0.7988
"ZNF511",0.1016,9.6314,0.5254,0.5993,0.74
"ZNF511-PRAP1",0.0614,9.0021,0.2949,0.7681,0.8616
"FUOM",0.297,8.4927,0.8938,0.3714,0.5461
"ECHS1",0.1286,11.6685,0.6814,0.4956,0.6574
"PAOX",-0.6714,8.1097,-3.1878,0.001434,0.0095
"RP11-108K14.8",-0.0533,9.6836,-0.3066,0.7591,0.8555
"MTG1",-0.0431,9.8787,-0.2544,0.7992,0.8813
"SPRN",-0.0352,7.6221,-0.1741,0.8618,0.9217
"SCART1",0.1283,7.022,0.3332,0.739,0.8416
"CYP2E1",-0.4301,6.953,-0.8493,0.3957,0.5688
"BET1L",0.0569,11.3861,0.3358,0.737,0.8399
"RIC8A",-0.073,11.7453,-0.6331,0.5267,0.6833
"SIRT3",0.1183,9.4778,0.7463,0.4555,0.6226
"PSMD13",-0.1536,11.805,-0.8697,0.3845,0.5582
"NLRP6",0.1534,6.3261,0.4037,0.6865,0.8033
"PGGHG",1.1282,10.3794,2.9809,0.002874,0.01624
"IFITM2",0.5105,12.564,1.682,0.09256,0.2122
"IFITM1",-0.0126,12.0546,-0.0328,0.9738,0.9857
"IFITM3",0.0651,13.6391,0.2005,0.8411,0.9091
"B4GALNT4",-0.6487,8.0604,-1.0474,0.2949,0.4688
"PKP3",-0.4674,11.0252,-1.682,0.09257,0.2122
"SIGIRR",0.5453,10.0469,2.8836,0.003931,0.02039
"ANO9",-0.1653,9.4501,-0.5812,0.5611,0.7103
"PTDSS2",0.0182,9.7115,0.0865,0.931,0.9624
"RNH1",-0.0316,12.4723,-0.1997,0.8417,0.9095
"HRAS",-1.0485,9.8904,-4.9168,8.795e-07,2.339e-05
"LRRC56",0.6046,7.8895,1.5088,0.1314,0.2713
"LMNTD2",0.5142,7.8656,1.811,0.07014,0.1732
"RASSF7",1.1839,10.4643,4.6009,4.207e-06,8.696e-05
"PHRF1",-0.2385,10.7575,-1.2023,0.2292,0.3977
"IRF7",0.5499,10.0523,1.9484,0.05137,0.1387
"CDHR5",4.1819,6.4242,6.0497,1.452e-09,9.461e-08
"DRD4",-1.2049,6.4069,-3.3616,0.0007748,0.005926
"TMEM80",0.1757,9.1193,1.0729,0.2833,0.4571
"DEAF1",0.06,9.7852,0.3559,0.7219,0.8291
"EPS8L2",0.5403,11.6029,2.0778,0.03772,0.1113
"TALDO1",0.1859,12.6871,0.5645,0.5724,0.7192
"PDDC1",-0.0219,10.3139,-0.1213,0.9035,0.9471
"SLC25A22",-0.6406,9.9455,-2.8767,0.004018,0.0207
"PANO1",-0.0308,6.3872,-0.1306,0.8961,0.9423
"PIDD1",-0.2444,9.0412,-1.1465,0.2516,0.4226
"RPLP2",0.2893,13.8995,1.2882,0.1977,0.3602
"PNPLA2",0.5362,11.1986,2.557,0.01056,0.04298
"CRACR2B",1.9522,9.0365,5.91,3.422e-09,1.954e-07
"CD151",0.7455,13.1624,3.3064,0.0009451,0.006926
"POLR2L",0.7236,11.7963,3.3601,0.0007792,0.005951
"TSPAN4",1.0616,10.6473,3.7809,0.0001562,0.001661
"CHID1",-0.0029,11.1851,-0.0167,0.9867,0.993
"AP2A2",0.3327,11.4721,2.01,0.04443,0.1253
"MUC6",1.093,6.5427,2.0942,0.03625,0.1081
"MUC5AC",3.7306,7.9979,2.6821,0.007316,0.03262
"MUC5B",3.27,10.4634,3.2266,0.001253,0.00858
"TOLLIP",-0.2851,11.0316,-1.6459,0.09978,0.224
"BRSK2",0.7086,6.5929,1.2835,0.1993,0.3624
"MOB2",-0.2109,9.7996,-1.1671,0.2432,0.413
"DUSP8",0.5979,8.9681,1.9116,0.05592,0.1472
"KRTAP5-1",1.4267,6.2525,3.2146,0.001306,0.008839
"KRTAP5-2",2.5873,6.3603,5.6818,1.333e-08,6.222e-07
"IFITM10",0.4526,8.6139,1.4469,0.1479,0.294
"RP11-295K3.1",0.3159,14.8176,1.192,0.2333,0.4016
"CTSD",0.2423,15.5613,0.9278,0.3535,0.5281
"SYT8",1.1802,7.8187,1.9112,0.05599,0.1473
"TNNI2",0.1899,7.1344,0.4473,0.6546,0.7818
"PRR33",-0.3332,8.3644,-1.1464,0.2516,0.4227
"LSP1",-0.3042,11.0639,-0.9729,0.3306,0.506
"TNNT3",-3.2873,6.7198,-4.2589,2.054e-05,0.0003182
"MRPL23",0.1797,8.829,0.9843,0.325,0.5008
"IGF2",0.1878,10.0933,0.4294,0.6676,0.7908
"INS-IGF2",0.4676,7.5113,0.9765,0.3288,0.5043
"ASCL2",-0.3655,7.2759,-0.6925,0.4886,0.6514
"C11orf21",0.6444,7.2679,1.3045,0.1921,0.3537
"TSPAN32",0.5575,7.136,1.2172,0.2235,0.3906
"CD81",-0.1565,14.1095,-0.7829,0.4337,0.6037
"TSSC4",-0.0375,9.9222,-0.2248,0.8221,0.8965
"KCNQ1",0.9918,10.0038,2.7747,0.005526,0.02622
"CDKN1C",-0.3098,9.3204,-0.9701,0.332,0.5071
"SLC22A18AS",1.826,7.1892,4.7966,1.614e-06,3.866e-05
"SLC22A18",0.7924,9.4874,2.8389,0.004527,0.02255
"PHLDA2",0.5787,8.6819,1.4559,0.1454,0.2906
"NAP1L4",-0.3738,11.936,-2.3124,0.02076,0.07168
"CARS",-0.2809,10.7531,-1.9911,0.04647,0.1294
"OSBPL5",0.3231,9.8483,1.3402,0.1802,0.3383
"ZNF195",0.1592,9.346,0.9368,0.3488,0.524
"ART5",-0.2024,6.4776,-0.41,0.6818,0.8006
"CHRNA10",-0.1981,6.5456,-0.645,0.519,0.6766
"NUP98",-0.2248,11.9341,-1.5321,0.1255,0.2634
"PGAP2",-0.4367,9.9443,-2.4601,0.01389,0.05307
"RHOG",-0.3466,10.8954,-1.9417,0.05218,0.1402
"STIM1",-0.5685,11.3655,-2.7641,0.005708,0.02694
"RRM1",-0.5724,11.1515,-2.6913,0.007118,0.03199
"TRIM21",0.185,9.9215,0.8421,0.3998,0.5724
"TRIM68",0.2695,9.3038,1.1846,0.2362,0.4053
"OR51E1",0.4991,6.285,0.8841,0.3767,0.5514
"HBB",1.6507,10.8306,2.9356,0.003329,0.01811
"HBD",1.0394,6.6352,1.9312,0.05346,0.1427
"UBQLNL",0.6283,6.3383,1.8796,0.06016,0.155
"TRIM6",0.8172,7.9964,2.5788,0.009913,0.04099
"TRIM34",0.5038,8.8154,2.1701,0.03,0.09409
"TRIM6-TRIM34",0.5717,8.9489,2.4592,0.01392,0.05314
"HBG2",1.8122,6.2578,3.0765,0.002095,0.01275
"TRIM22",0.1423,11.2832,0.4322,0.6656,0.7892
"TRIM5",0.0789,9.962,0.4497,0.6529,0.7806
"FAM160A2",0.0776,10.2198,0.4713,0.6374,0.7689
"CNGA4",1.2937,6.5612,1.7908,0.07332,0.1785
"PRKCDBP",0.0033,9.2509,0.0116,0.9908,0.995
"SMPD1",0.267,10.3658,1.5262,0.127,0.2654
"APBB1",0.8319,9.7188,2.9176,0.003528,0.01888
"HPX",0.1767,6.4629,0.506,0.6128,0.7501
"TRIM3",0.5288,8.901,2.8761,0.004026,0.02073
"ARFIP2",0.1693,10.6811,0.9183,0.3585,0.5331
"TIMM10B",0.3422,10.3283,1.984,0.04726,0.1309
"CTD-2010I16.2",0.4079,8.1805,2.0686,0.03858,0.1134
"DNHD1",-0.1254,8.6033,-0.4397,0.6601,0.7853
"RRP8",0.367,9.3617,2.569,0.0102,0.04191
"ILK",0.3552,11.8071,2.1082,0.03502,0.1053
"TAF10",0.2471,12.222,1.6355,0.102,0.2279
"TPP1",0.0935,12.8265,0.5587,0.5764,0.7226
"DCHS1",0.2912,10.1606,1.1294,0.2587,0.43
"MRPL17",0.2121,10.4901,1.0279,0.304,0.4787
"ZNF215",0.4042,7.3264,1.1872,0.2352,0.4042
"ZNF214",1.4855,7.0678,4.1021,4.094e-05,0.0005555
"SYT9",-1.1147,6.2433,-1.975,0.04827,0.1327
"OLFML1",-0.0388,8.9976,-0.144,0.8855,0.9361
"PPFIBP2",-0.6754,9.9969,-2.2904,0.022,0.0747
"CYB5R2",-1.7853,8.9212,-5.284,1.264e-07,4.428e-06
"OVCH2",-1.1794,6.4052,-2.1356,0.03272,0.1004
"EIF3F",-0.1304,11.5882,-0.7736,0.4392,0.6084
"TUB",-0.7794,8.5356,-1.9734,0.04845,0.133
"RIC3",-0.0944,7.5609,-0.1965,0.8442,0.911
"STK33",1.1477,8.1488,2.7459,0.006034,0.02818
"TRIM66",-0.271,8.8323,-0.9734,0.3304,0.5057
"RPL27A",0.502,13.7132,1.7839,0.07444,0.1805
"ST5",-0.522,11.3459,-2.3355,0.01952,0.06836
"AKIP1",-0.0981,9.2269,-0.6128,0.54,0.693
"C11orf16",1.8248,6.8547,2.412,0.01587,0.05854
"TMEM9B",0.2948,11.1513,1.8162,0.06934,0.1717
"NRIP3",0.1955,7.8529,0.5067,0.6124,0.7498
"SCUBE2",0.4082,8.6718,0.7145,0.4749,0.639
"DENND5A",-0.2199,11.3653,-1.4124,0.1578,0.3083
"TMEM41B",0.1963,10.9189,1.0397,0.2985,0.4728
"IPO7",0.1641,12.3585,1.0781,0.281,0.4548
"ZNF143",0.2268,9.4222,1.6018,0.1092,0.2387
"WEE1",-0.2178,10.4061,-0.832,0.4054,0.577
"SWAP70",0.0982,11.4911,0.5065,0.6125,0.7498
"SBF2",-0.2722,10.3465,-1.2515,0.2108,0.3764
"ADM",-0.7982,10.3056,-1.6372,0.1016,0.2273
"AMPD3",-0.0461,9.4332,-0.1949,0.8454,0.9117
"MTRNR2L8",-0.5609,7.4308,-1.5815,0.1138,0.2453
"RNF141",0.24,11.0947,1.2432,0.2138,0.3797
"LYVE1",0.7859,8.9705,2.3422,0.01917,0.06754
"MRVI1",0.1538,9.358,0.6787,0.4973,0.6587
"CTR9",0.0425,11.0323,0.2438,0.8074,0.8878
"EIF4G2",-0.071,15.1037,-0.5832,0.5598,0.709
"ZBED5",0.0715,10.4462,0.3778,0.7056,0.8173
"CSNK2A3",-0.4086,9.9125,-2.26,0.02382,0.07916
"GALNT18",-0.3976,10.4729,-1.2936,0.1958,0.358
"USP47",0.1306,11.4176,0.7635,0.4452,0.6135
"DKK3",-0.8915,11.8123,-3.7553,0.0001731,0.001805
"MICAL2",0.7215,11.6524,2.2828,0.02244,0.07592
"MICALCL",0.6141,7.9848,1.437,0.1507,0.2979
"PARVA",-0.097,11.3593,-0.5002,0.6169,0.7533
"TEAD1",0.139,11.5044,0.6334,0.5265,0.6832
"RASSF10",0.1562,7.7091,0.3882,0.6979,0.8125
"ARNTL",-0.3172,9.2374,-1.2818,0.1999,0.3632
"BTBD10",-0.3818,10.223,-2.1331,0.03292,0.1008
"FAR1",-0.4752,11.1485,-2.6887,0.007172,0.03216
"SPON1",0.1573,10.5307,0.4387,0.6609,0.7859
"RRAS2",-1.19,10.0441,-3.2173,0.001294,0.008783
"COPB1",0.308,12.5605,2.0773,0.03778,0.1114
"RP11-140L24.4",-0.6656,11.7584,-2.3685,0.01786,0.06409
"PSMA1",-0.6974,12.0599,-2.5002,0.01241,0.04857
"PDE3B",-0.9469,9.3651,-2.9274,0.003418,0.01847
"CYP2R1",-0.5926,8.8682,-1.9939,0.04616,0.1287
"INSC",0.2402,6.378,0.4877,0.6258,0.7604
"SOX6",-1.6277,8.1418,-2.9752,0.002928,0.01646
"C11orf58",-0.1486,12.2312,-0.6836,0.4943,0.6565
"PLEKHA7",0.2737,10.1662,0.9694,0.3324,0.5074
"RPS13",0.1355,12.9998,0.5901,0.5551,0.7053
"PIK3C2A",-0.1127,11.1532,-0.4842,0.6283,0.762
"NUCB2",0.2378,11.2739,1.0617,0.2884,0.4622
"NCR3LG1",0.7546,7.3402,1.5298,0.1261,0.2643
"KCNJ11",1.6738,7.5339,3.3048,0.0009506,0.006954
"ABCC8",0.429,6.5026,0.5916,0.5541,0.7046
"USH1C",1.7644,7.0719,2.3203,0.02033,0.07055
"SERGEF",0.0533,9.2043,0.2441,0.8072,0.8876
"TPH1",-0.6699,6.4676,-1.8066,0.07082,0.1743
"SAAL1",-0.4962,8.7272,-2.4124,0.01585,0.05849
"SAA4",-0.7777,6.333,-1.1529,0.249,0.4199
"SAA2-SAA4",-0.9267,7.6539,-1.5167,0.1293,0.2686
"SAA2",-0.9471,7.9033,-1.5658,0.1174,0.2511
"SAA1",-1.3598,8.2201,-2.1774,0.02945,0.09273
"HPS5",-0.3429,10.5649,-1.6584,0.09724,0.22
"GTF2H1",-0.5489,10.4729,-3.1667,0.001542,0.01003
"LDHA",0.0594,14.2932,0.2031,0.8391,0.9077
"LDHC",0.3547,6.34,0.4165,0.677,0.7972
"TSG101",0.0773,11.2342,0.4365,0.6625,0.7869
"UEVLD",0.1561,10.0046,0.8276,0.4079,0.5794
"SPTY2D1-AS1",-0.0268,8.1414,-0.1313,0.8955,0.942
"SPTY2D1",-0.0274,10.6051,-0.1329,0.8943,0.9413
"TMEM86A",0.1494,8.4932,0.7245,0.4688,0.6337
"IGSF22",0.4378,6.8856,1.683,0.09238,0.2121
"PTPN5",-0.6071,6.538,-1.1191,0.2631,0.4352
"ZDHHC13",-0.3429,9.8095,-1.3175,0.1877,0.3481
"E2F8",0.0059,7.975,0.0157,0.9875,0.9934
"NAV2",0.1925,11.4329,0.5961,0.5511,0.7022
"HTATIP2",0.4115,11.0444,1.6241,0.1044,0.2316
"PRMT3",-0.4463,9.3552,-2.0105,0.04437,0.1253
"NELL1",2.0079,7.4644,2.2464,0.02468,0.08146
"ANO5",2.3779,7.7512,5.248,1.537e-07,5.236e-06
"FANCF",-0.2118,9.4099,-0.975,0.3295,0.5049
"GAS2",0.9663,7.2339,3.2598,0.001115,0.007814
"SVIP",1.1699,9.89,5.5732,2.501e-08,1.094e-06
"LUZP2",-0.7487,6.7585,-1.0633,0.2876,0.4614
"MUC15",1.3949,9.0381,2.7643,0.005705,0.02694
"ANO3",0.7794,7.3219,1.6105,0.1073,0.2359
"SLC5A12",-2.1746,6.8893,-3.477,0.0005071,0.004249
"FIBIN",-0.3413,8.8733,-0.8571,0.3914,0.5648
"BBOX1",-0.9587,6.7161,-1.6746,0.094,0.2146
"CCDC34",-0.3633,8.8299,-1.1848,0.2361,0.4052
"LGR4",0.4686,10.4869,1.7707,0.07662,0.1844
"LIN7C",0.0375,10.4738,0.183,0.8548,0.9174
"BDNF",-0.1959,7.8906,-0.3866,0.699,0.8133
"KIF18A",-0.6782,8.3783,-2.656,0.007908,0.03446
"METTL15",0.4942,9.0847,2.8218,0.004776,0.02347
"KCNA4",0.4745,6.617,0.6087,0.5427,0.6951
"ARL14EP",0.0946,9.6688,0.4535,0.6502,0.7789
"MPPED2",-3.2349,7.0897,-5.9014,3.605e-09,2.045e-07
"DCDC1",0.5581,6.7761,0.8993,0.3685,0.5432
"DNAJC24",-0.0791,8.4249,-0.5853,0.5584,0.7078
"IMMP1L",0.0769,8.0976,0.4115,0.6807,0.7997
"ELP4",-0.5879,9.3168,-3.5717,0.0003547,0.003218
"PAX6",-2.1649,7.6408,-5.3304,9.8e-08,3.548e-06
"RCN1",-0.4477,11.7562,-2.121,0.03392,0.1029
"WT1",-1.2463,6.8104,-1.7486,0.08037,0.1909
"EIF3M",-0.3259,11.9165,-2.198,0.02795,0.08923
"CCDC73",-0.3305,9.142,-1.8201,0.06875,0.1706
"PRRG4",-1.2235,10.64,-4.0683,4.737e-05,0.0006263
"QSER1",-0.7403,10.5732,-4.4288,9.477e-06,0.000172
"DEPDC7",-0.5477,7.1196,-1.5409,0.1234,0.2603
"TCP11L1",-0.0694,9.1271,-0.4561,0.6483,0.7774
"CSTF3",-0.0418,9.9964,-0.3131,0.7542,0.8522
"HIPK3",0.2773,11.9298,1.5137,0.1301,0.2697
"KIAA1549L",-4.3657,7.6079,-8.0383,9.106e-16,3.248e-13
"C11orf91",-1.0577,6.2592,-2.1815,0.02914,0.09205
"CD59",-0.1494,13.5878,-0.5371,0.5912,0.7336
"FBXO3",0.1116,10.5402,0.6823,0.495,0.6571
"LMO2",-0.3907,9.3644,-1.1327,0.2573,0.4285
"CAPRIN1",-0.3002,13.1014,-2.6622,0.007763,0.03402
"NAT10",-0.6152,11.0142,-3.9942,6.49e-05,0.0008159
"ABTB2",-1.4766,8.7643,-4.5175,6.256e-06,0.0001219
"CAT",0.4335,11.9997,1.9789,0.04782,0.1319
"ELF5",0.6709,8.48,1.064,0.2873,0.4612
"EHF",-0.1463,11.0687,-0.4159,0.6775,0.7976
"APIP",-0.0143,9.3866,-0.0851,0.9322,0.963
"PDHX",-0.0882,10.2462,-0.5073,0.6119,0.7496
"CD44",-1.7472,13.969,-6.6401,3.134e-11,3.405e-09
"SLC1A2",-1.0373,7.2554,-2.8656,0.004162,0.02119
"PAMR1",-0.7561,8.5124,-1.8885,0.05896,0.153
"FJX1",-1.7418,8.1123,-5.2614,1.429e-07,4.939e-06
"TRIM44",-0.0705,11.8315,-0.4392,0.6605,0.7856
"LDLRAD3",-1.3439,8.913,-4.6577,3.198e-06,6.893e-05
"COMMD9",0.0786,10.2977,0.4626,0.6437,0.7735
"PRR5L",-0.8403,9.5297,-2.458,0.01397,0.05327
"TRAF6",-0.286,9.0802,-1.7075,0.08773,0.204
"RAG1",-1.0455,7.7034,-2.8114,0.004933,0.02406
"RAG2",-0.0637,6.5744,-0.2183,0.8272,0.8998
"C11orf74",0.5043,8.4736,1.9878,0.04683,0.1301
"LRRC4C",-0.4688,6.78,-1.4117,0.158,0.3085
"API5",-0.2948,11.6923,-2.4551,0.01408,0.05358
"TTC17",0.1475,11.3425,0.9632,0.3354,0.5102
"HSD17B12",0.255,11.766,1.2533,0.2101,0.3755
"ALKBH3",-0.2176,9.3425,-1.2596,0.2078,0.373
"C11orf96",0.0449,9.9349,0.1075,0.9144,0.9528
"ACCS",0.6631,8.7567,2.4063,0.01612,0.05921
"EXT2",-0.525,11.6379,-3.3115,0.0009279,0.006818
"CD82",-1.297,11.5204,-4.0359,5.439e-05,0.0007051
"TSPAN18",-1.8246,10.1025,-4.5071,6.571e-06,0.0001267
"TP53I11",0.2996,11.9208,1.2356,0.2166,0.3826
"PRDM11",-1.1974,9.2626,-4.5389,5.654e-06,0.000112
"SYT13",2.7069,7.2644,3.5284,0.0004181,0.003657
"CHST1",-0.8641,7.9299,-2.3252,0.02006,0.06977
"SLC35C1",0.2082,10.4682,0.6297,0.5289,0.6848
"CRY2",0.5157,10.721,2.2229,0.02622,0.08506
"MAPK8IP1",0.292,8.6439,0.6912,0.4894,0.6522
"PEX16",-0.1342,9.6495,-1.1307,0.2582,0.4295
"LARGE2",-1.1267,9.4266,-2.9742,0.002937,0.0165
"PHF21A",-0.5419,10.5624,-3.4227,0.00062,0.004945
"CREB3L1",0.7228,10.6153,1.5852,0.1129,0.244
"DGKZ",-0.8498,10.3507,-3.8103,0.0001388,0.00152
"MDK",-0.0392,11.6788,-0.1082,0.9139,0.9526
"CHRM4",-1.4866,6.4307,-2.3514,0.0187,0.06631
"AMBRA1",-0.1544,10.4378,-1.1622,0.2452,0.4151
"HARBI1",-0.0977,8.4687,-0.7125,0.4762,0.6399
"ATG13",-0.4023,11.489,-3.1407,0.001685,0.01074
"ARHGAP1",-0.2107,12.1363,-1.3985,0.162,0.3136
"ZNF408",-0.2493,8.9898,-1.648,0.09935,0.2233
"CKAP5",-0.4642,11.8204,-2.3679,0.01789,0.06417
"LRP4",0.165,9.8854,0.3149,0.7529,0.8511
"C11orf49",0.4581,10.2794,2.4794,0.01316,0.05099
"ARFGAP2",-0.1039,11.618,-0.8949,0.3708,0.5454
"PACSIN3",-0.602,10.0791,-2.3893,0.01688,0.06141
"DDB2",-0.6378,9.9496,-3.1137,0.001847,0.01151
"ACP2",-0.1003,10.9302,-0.7928,0.4279,0.5985
"NR1H3",0.3266,9.9601,1.3786,0.168,0.3222
"MADD",0.0591,10.9197,0.3372,0.736,0.8391
"SPI1",-0.1926,10.4101,-0.5775,0.5636,0.7126
"SLC39A13",0.0098,10.6802,0.0577,0.954,0.9742
"PSMC3",-0.2353,11.8044,-2.0308,0.04227,0.1208
"CELF1",-0.249,11.858,-1.4017,0.161,0.3125
"PTPMT1",0.2529,10.8814,1.4998,0.1337,0.2743
"KBTBD4",0.2465,10.1303,1.6355,0.102,0.2279
"NDUFS3",0.2152,11.3398,1.1583,0.2467,0.4169
"MTCH2",-0.1944,11.2642,-1.469,0.1418,0.2854
"AGBL2",0.3019,7.2223,0.6117,0.5407,0.6937
"FNBP4",-0.4501,10.8758,-2.7339,0.00626,0.0289
"NUP160",-0.0127,11.1433,-0.0744,0.9407,0.9672
"PTPRJ",1.006,10.7636,3.9377,8.227e-05,0.0009908
"FOLH1",-2.4358,7.8731,-5.9692,2.384e-09,1.42e-07
"LRRC55",-3.9529,6.8917,-6.329,2.467e-10,2.092e-08
"APLNR",-0.382,9.1285,-1.009,0.313,0.4879
"TNKS1BP1",-0.3182,12.6457,-1.2932,0.1959,0.3581
"SSRP1",-0.4252,12.4843,-2.8599,0.004237,0.02149
"PRG2",1.1179,6.5375,3.4906,0.0004819,0.004091
"RP11-872D17.8",1.1221,10.4258,3.7638,0.0001673,0.001759
"SLC43A3",1.142,11.1267,3.8513,0.0001175,0.001326
"RTN4RL2",3.3618,7.826,8.0756,6.712e-16,2.594e-13
"SLC43A1",1.0499,8.6465,3.8781,0.0001053,0.001215
"TIMM10",0.2154,9.3697,0.9542,0.34,0.5146
"SMTNL1",-0.289,6.2965,-0.6374,0.5239,0.6807
"UBE2L6",-0.0981,11.6463,-0.3751,0.7076,0.8186
"SERPING1",-0.0298,13.4865,-0.1033,0.9177,0.9548
"YPEL4",0.325,7.0793,0.9265,0.3542,0.5288
"CLP1",-0.0247,8.9191,-0.1595,0.8733,0.9285
"ZDHHC5",-0.314,12.1799,-2.1704,0.02998,0.09404
"MED19",0.1125,8.9329,0.6533,0.5136,0.6723
"TMX2",0.0544,11.3335,0.3123,0.7548,0.8524
"SELENOH",0.3798,10.9331,1.611,0.1072,0.2357
