"gene","TCGA-BH-A0C0-11A","TCGA-BH-A18J-11A","TCGA-AC-A2FM-11B","TCGA-BH-A18N-11A","TCGA-BH-A0DQ-11A","TCGA-GI-A2C8-11A","TCGA-BH-A0H5-11A","TCGA-BH-A0DZ-11A","TCGA-BH-A0DL-11A","TCGA-BH-A18M-11A","TCGA-E9-A1N9-11A","TCGA-BH-A18Q-11A","TCGA-BH-A1FM-11B","TCGA-BH-A1EO-11A","TCGA-BH-A1F8-11B","TCGA-BH-A0DG-11A","TCGA-E9-A1RB-11A","TCGA-BH-A0DO-11A","TCGA-A7-A13E-11A","TCGA-BH-A1FR-11B","TCGA-E2-A1IU-01A","TCGA-A7-A26I-01B","TCGA-A8-A07S-01A","TCGA-A1-A0SK-01A","TCGA-AC-A6IV-01A","TCGA-AR-A2LN-01A","TCGA-A7-A26I-01A","TCGA-AO-A0JM-01A","TCGA-EW-A1J3-01A","TCGA-E2-A14N-01A","TCGA-E9-A54X-01A","TCGA-E2-A15L-01A","TCGA-BH-A28Q-01A","TCGA-A2-A0D0-01A","TCGA-B6-A0I5-01A","TCGA-A2-A0YL-01A","TCGA-AC-A3QQ-01B","TCGA-A2-A0D4-01A","TCGA-A8-A07I-01A","TCGA-A1-A0SH-01A"
"CAMSAP3",10.1903,9.8188,10.4777,9.8393,10.3431,5.3816,10.2432,10.5804,9.2825,8.9779,9.9619,9.2648,8.8867,5.1813,9.2158,9.3713,8.5885,9.5161,8.0251,9.4274,10.2632,9.3851,9.2434,11.3111,10.1538,10.0927,10.0878,9.4174,9.4933,9.8344,10.6959,9.6111,10.2393,10.1113,10.2979,10.1324,9.4134,10.3492,10.5799,9.9297
"XAB2",11.0748,10.9324,11.8347,10.6976,10.891,10.8437,10.9635,11.5157,10.6707,10.9395,10.784,10.6976,10.7284,10.2167,10.3441,10.4965,10.4682,10.8598,10.2273,10.442,11.0497,9.4118,10.7448,11.5538,11.1981,10.9881,9.5983,10.3018,10.0494,9.8579,11.0591,10.9162,10.752,10.9506,11.2722,10.6313,8.6686,10.52,10.8224,10.8019
"PET100",8.397,8.3375,9.3429,8.1444,8.6251,8.9673,8.4365,9.2518,8.3884,8.0478,8.4519,8.1043,8.0794,8.8936,8.7317,8.1573,8.3321,8.2024,8.3374,8.3977,8.7544,7.5186,8.8077,8.8275,9.3436,8.3648,8.1159,8.963,9.2638,9.4642,9.0357,8.8396,8.8065,9.4552,10.4602,8.7648,7.4079,8.7582,8.2264,8.3812
"PCP2",7.0627,6.6824,7.6086,6.8101,6.9444,4.7831,7.2654,6.8345,6.2703,6.7584,6.4184,6.8759,6.2401,5.0651,5.8292,6.271,5.7285,6.2215,5.6635,6.6201,7.606,6.1705,6.9664,5.8625,8.4473,6.3675,5.2462,6.3445,7.0185,5.067,7.6571,7.7261,6.9387,5.795,8.0687,6.1597,5.8546,7.3524,5.6172,5.542
"CTD-3214H19.4",10.0386,9.9559,10.8692,9.8689,10.4807,8.4648,10.113,10.8196,9.6943,9.7839,10.0215,9.6346,9.567,9.1991,9.7528,9.7822,9.2986,9.7656,9.119,9.9433,11.1836,8.9897,10.875,9.5087,11,10.0997,9.8696,10.293,10.5691,9.9403,10.5857,11.023,10.8494,10.6499,10.9751,10.1112,9.5575,11.0366,10.875,10.3719
"STXBP2",10.6326,10.5202,11.8827,10.5325,11.0957,6.8869,10.7732,11.5664,10.2908,10.5056,10.6108,10.204,10.1171,9.3162,10.072,10.3376,9.6739,10.2806,9.4428,10.6087,11.9146,9.867,11.5847,9.7535,11.8009,10.8577,10.3079,10.7093,11.0349,10.2527,11.6582,11.7078,11.4803,11.3394,11.9059,10.5198,10.6117,11.7504,11.42,10.9954
"CTD-3214H19.16",8.8815,9.4909,10.7052,8.8295,9.1486,10.2005,9.044,10.2339,8.8698,9.0548,8.8411,8.5158,8.3051,9.5064,9.1266,8.2079,8.8024,9.0803,9.4796,9.0522,9.228,7.9625,9.0691,8.8217,9.894,9.1142,8.5959,9.4789,9.2234,9.8761,10.1841,9.498,9.3102,10.0812,11.1301,9.3699,7.0533,9.822,8.6658,9.3755
"TRAPPC5",9.0146,9.5644,10.7341,8.9149,9.2402,10.2239,9.1329,10.2686,8.9803,9.13,8.8949,8.5668,8.3831,9.5334,9.1629,8.2806,8.886,9.1195,9.4945,9.1301,9.2859,8.3669,9.0981,8.9269,9.9847,9.2344,8.6485,9.538,9.2563,9.9102,10.2741,9.5686,9.4252,10.097,11.1647,9.4295,8.0814,9.8605,8.7887,9.4066
"FCER2",5.3909,6.4342,5.3589,6.2136,6.2907,5.2078,5.7988,5.2985,6.7617,6.7211,5.6035,5.8439,6.3322,9.4832,6.2333,5.6781,8.3229,6.385,6.6162,6.9133,6.0095,5.2161,5.0444,4.7831,5.6919,5.8768,4.7831,5.3189,5.2707,5.8929,4.7831,4.7831,5.3987,5.3523,6.2588,5.5605,6.1783,5.3987,5.4838,5.0728
"CD209",6.5702,8.8385,8.0865,10.5525,7.685,7.9175,7.8556,8.5313,9.6624,9.5083,8.2484,8.3616,8.9971,11.3739,9.478,8.5124,10.1545,7.397,11.927,9.1256,6.2372,7.4142,6.3761,5.8907,8.5383,8.149,7.0587,6.4009,6.3745,6.4623,5.9144,6.3761,7.0002,6.6028,6.3825,7.3227,7.2998,8.1417,6.9271,6.9489
"EVI5L",9.0076,9.1524,9.6467,9.1486,8.9081,10.6063,8.9221,9.7429,9.2377,9.2389,9.0873,8.6579,8.6172,8.9988,8.9109,8.5389,8.4083,8.8935,9.2302,8.7046,9.5101,8.3669,8.9229,7.8919,9.9445,9.1368,8.2678,9.3187,8.3143,8.327,9.1958,9.3354,9.1683,8.7034,8.9498,9.0214,8.7511,9.0161,9.7551,9.5827
"PRR36",8.4563,8.5821,9.272,8.8046,8.9383,4.7831,8.8969,9.4988,8.1921,8.8105,8.244,8.5027,8.5102,5.4685,8.336,9.1473,8.2661,9.1126,8.1001,8.3864,9.9921,7.9478,11.1572,11.0639,10.2014,9.2427,9.0329,9.5565,11.9046,9.3528,10.4097,11.1154,11.3258,8.3156,11.9284,10.4412,13.7592,11.4333,10.6308,9.589
"LRRC8E",9.102,9.3119,9.5912,9.081,9.2422,5.2078,9.1372,9.9771,8.5937,8.8461,9.2611,8.7764,8.9184,7.3518,8.8055,8.9765,7.9117,9.2288,7.8818,8.4878,10.3666,8.6183,9.9846,7.7466,9.1973,9.1096,8.9544,9.2768,9.2638,9.0659,9.5875,9.7663,9.8444,9.3462,9.8499,9.5977,9.0728,10.0498,9.657,10.0207
